Edição,Data
300,19/12/2024
299,19/12/2024
298,18/12/2024
297,18/12/2024
296,17/12/2024
295,17/12/2024
294,16/12/2024
293,16/12/2024
292,13/12/2024
291,13/12/2024
290,12/12/2024
289,11/12/2024
288,10/12/2024
287,10/12/2024
286,09/12/2024
285,06/12/2024
284,06/12/2024
283,05/12/2024
282,05/12/2024
281,04/12/2024
280,04/12/2024
279,03/12/2024
278,03/12/2024
277,02/12/2024
276,29/11/2024
275,29/11/2024
274,28/11/2024
273,28/11/2024
272,27/11/2024
271,27/11/2024
270,26/11/2024
269,26/11/2024
268,25/11/2024
267,22/11/2024
266,22/11/2024
265,21/11/2024
264,19/11/2024
263,19/11/2024
262,18/11/2024
261,18/11/2024
260,14/11/2024
259,13/11/2024
258,12/11/2024
257,12/11/2024
256,11/11/2024
255,08/11/2024
254,07/11/2024
253,06/11/2024
252,05/11/2024
251,05/11/2024
250,04/11/2024
249,04/11/2024
248,01/11/2024
247,01/11/2024
246,31/10/2024
245,31/10/2024
244,30/10/2024
243,29/10/2024
242,29/10/2024
241,25/10/2024
240,24/10/2024
239,23/10/2024
238,23/10/2024
237,22/10/2024
236,21/10/2024
235,21/10/2024
234,18/10/2024
233,17/10/2024
232,16/10/2024
231,15/10/2024
230,14/10/2024
229,11/10/2024
228,10/10/2024
227,09/10/2024
226,09/10/2024
225,08/10/2024
224,07/10/2024
223,04/10/2024
222,03/10/2024
221,02/10/2024
220,01/10/2024
219,30/09/2024
218,27/09/2024
217,26/09/2024
216,25/09/2024
215,25/09/2024
214,24/09/2024
213,23/09/2024
212,20/09/2024
211,20/09/2024
210,19/09/2024
209,19/09/2024
208,18/09/2024
207,18/09/2024
206,17/09/2024
205,16/09/2024
204,13/09/2024
203,13/09/2024
202,12/09/2024
201,12/09/2024
200,11/09/2024
199,10/09/2024
198,09/09/2024
197,09/09/2024
196,06/09/2024
195,06/09/2024
194,05/09/2024
193,05/09/2024
192,04/09/2024
191,04/09/2024
190,03/09/2024
189,03/09/2024
188,02/09/2024
187,02/09/2024
186,30/08/2024
185,30/08/2024
184,29/08/2024
183,29/08/2024
182,28/08/2024
181,28/08/2024
180,27/08/2024
179,26/08/2024
178,23/08/2024
177,23/08/2024
176,22/08/2024
175,21/08/2024
174,20/08/2024
173,19/08/2024
172,16/08/2024
171,15/08/2024
170,15/08/2024
169,14/08/2024
168,14/08/2024
167,13/08/2024
166,12/08/2024
165,12/08/2024
164,09/08/2024
163,09/08/2024
162,08/08/2024
161,08/08/2024
160,07/08/2024
159,06/08/2024
158,05/08/2024
157,05/08/2024
156,02/08/2024
155,02/08/2024
154,01/08/2024
153,01/08/2024
152,31/07/2024
151,30/07/2024
150,30/07/2024
149,29/07/2024
148,26/07/2024
147,25/07/2024
146,24/07/2024
145,23/07/2024
144,23/07/2024
143,22/07/2024
142,22/07/2024
141,19/07/2024
140,19/07/2024
139,18/07/2024
138,17/07/2024
137,16/07/2024
136,15/07/2024
135,12/07/2024
134,12/07/2024
133,11/07/2024
132,11/07/2024
131,10/07/2024
130,09/07/2024
129,08/07/2024
128,05/07/2024
127,05/07/2024
126,04/07/2024
125,03/07/2024
124,02/07/2024
123,01/07/2024
122,21/06/2024
121,21/06/2024
120,20/06/2024
119,19/06/2024
118,19/06/2024
117,18/06/2024
116,18/06/2024
115,17/06/2024
114,17/06/2024
113,14/06/2024
112,14/06/2024
111,13/06/2024
110,12/06/2024
109,11/06/2024
108,10/06/2024
107,10/06/2024
106,07/06/2024
105,07/06/2024
104,06/06/2024
103,05/06/2024
102,04/06/2024
101,03/06/2024
100,30/05/2024
99,29/05/2024
98,28/05/2024
97,27/05/2024
96,24/05/2024
95,23/05/2024
94,22/05/2024
93,21/05/2024
92,20/05/2024
91,17/05/2024
90,16/05/2024
89,15/05/2024
88,14/05/2024
87,13/05/2024
86,10/05/2024
85,09/05/2024
84,08/05/2024
83,07/05/2024
82,06/05/2024
81,03/05/2024
80,02/05/2024
79,30/04/2024
78,29/04/2024
77,26/04/2024
76,25/04/2024
75,24/04/2024
74,23/04/2024
73,22/04/2024
72,19/04/2024
71,18/04/2024
70,17/04/2024
69,16/04/2024
68,15/04/2024
67,12/04/2024
66,11/04/2024
65,10/04/2024
64,09/04/2024
63,08/04/2024
62,05/04/2024
61,04/04/2024
60,03/04/2024
59,02/04/2024
58,01/04/2024
57,27/03/2024
56,26/03/2024
55,25/03/2024
54,22/03/2024
53,21/03/2024
52,20/03/2024
51,19/03/2024
50,18/03/2024
49,15/03/2024
48,14/03/2024
47,13/03/2024
46,12/03/2024
45,11/03/2024
44,08/03/2024
43,07/03/2024
42,05/03/2024
41,04/03/2024
40,01/03/2024
39,29/02/2024
38,28/02/2024
37,27/02/2024
36,26/02/2024
35,23/02/2024
34,22/02/2024
33,21/02/2024
32,20/02/2024
31,19/02/2024
30,16/02/2024
29,15/02/2024
28,08/02/2024
27,07/02/2024
26,06/02/2024
25,05/02/2024
24,02/02/2024
23,01/02/2024
22,31/01/2024
21,30/01/2024
20,29/01/2024
19,26/01/2024
18,25/01/2024
17,24/01/2024
16,23/01/2024
15,22/01/2024
14,19/01/2024
13,18/01/2024
12,17/01/2024
11,16/01/2024
10,15/01/2024
9,12/01/2024
8,11/01/2024
7,10/01/2024
6,09/01/2024
5,08/01/2024
4,05/01/2024
3,04/01/2024
2,03/01/2024
1,02/01/2024
